MeterType,the_geom,MeterNo,LONG,LAT,Status,Borough
Strada,POINT (-73.83363330419449 40.75931486118866),4063067,-73.8336333042,40.7593148612,Inactive,Queens
Strada,POINT (-73.83405768430653 40.75918097814475),4063068,-73.8340576843,40.7591809781,Active,Queens
Strada,POINT (-73.9160456047898 40.763804218477034),4833001,-73.9160456048,40.7638042185,Active,Queens
Strada,POINT (-73.91595888892236 40.763479514342),4833003,-73.9159588889,40.7634795143,Active,Queens
Strada,POINT (-73.91599039822339 40.76383835508383),4833002,-73.9159903982,40.7638383551,Active,Queens
Strada,POINT (-73.84909408374484 40.90609630912075),2083071,-73.8490940837,40.9060963091,Active,Bronx
Strada,POINT (-73.84964148692139 40.90521554503841),2083072,-73.8496414869,40.905215545,Active,Bronx
Strada,POINT (-73.84976358560824 40.9047318010012),2083073,-73.8497635856,40.904731801,Active,Bronx
Strada,POINT (-73.84990484057829 40.90423235654411),2083074,-73.8499048406,40.9042323565,Active,Bronx
Strada,POINT (-73.8501502279802 40.90382102257526),2083075,-73.850150228,40.9038210226,Inactive,Bronx
Strada,POINT (-73.85078933052608 40.90371122763024),2083076,-73.8507893305,40.9037112276,Active,Bronx
Strada,POINT (-73.85113107220509 40.903677707926185),2083077,-73.8511310722,40.9036777079,Active,Bronx
Strada,POINT (-73.85082935497795 40.90353915990136),2083078,-73.850829355,40.9035391599,Active,Bronx
Strada,POINT (-73.86038609859594 40.89521673217396),2083079,-73.8603860986,40.8952167322,Active,Bronx
Strada,POINT (-73.86038658878435 40.89530426535579),2083080,-73.8603865888,40.8953042654,Active,Bronx
Strada,POINT (-73.86035112186677 40.89573645275157),2083081,-73.8603511219,40.8957364528,Active,Bronx
Strada,POINT (-73.85997623234388 40.89638011308593),2083082,-73.8599762323,40.8963801131,Active,Bronx
Strada,POINT (-73.85974234762689 40.89713428178262),2083083,-73.8597423476,40.8971342818,Active,Bronx
Strada,POINT (-73.86018144069075 40.89644020535977),2083084,-73.8601814407,40.8964402054,Active,Bronx
Strada,POINT (-73.86046581143889 40.89595319418295),2083085,-73.8604658114,40.8959531942,Active,Bronx
Strada,POINT (-73.86082553040718 40.89539162739236),2083086,-73.8608255304,40.8953916274,Active,Bronx
Strada,POINT (-73.86112495937867 40.89506816982993),2083087,-73.8611249594,40.8950681698,Active,Bronx
Strada,POINT (-73.86719389733318 40.898016620861775),2083088,-73.8671938973,40.8980166209,Active,Bronx
Strada,POINT (-73.8673037390298 40.89860257918651),2083089,-73.867303739,40.8986025792,Active,Bronx
Strada,POINT (-73.86755889729902 40.899962135772455),2083090,-73.8675588973,40.8999621358,Active,Bronx
Strada,POINT (-73.86784049060189 40.900647619103246),2083091,-73.8678404906,40.9006476191,Active,Bronx
Strada,POINT (-73.86755916683336 40.89913182083255),2083092,-73.8675591668,40.8991318208,Active,Bronx
Strada,POINT (-73.86743343330765 40.898461005390665),2083093,-73.8674334333,40.8984610054,Active,Bronx
Strada,POINT (-73.86731409543242 40.89781032741534),2083094,-73.8673140954,40.8978103274,Active,Bronx
Strada,POINT (-73.85857594795456 40.89098095576956),2083095,-73.858575948,40.8909809558,Active,Bronx
Strada,POINT (-73.90677480730997 40.88764728638943),2243005,-73.9067748073,40.8876472864,Active,Bronx
Strada,POINT (-73.86034489053327 40.835731354876735),2303001,-73.8603448905,40.8357313549,Active,Bronx
Strada,POINT (-73.8602568363963 40.836185000445106),2303002,-73.8602568364,40.8361850004,Active,Bronx
Strada,POINT (-73.85992522341675 40.837253293799876),2303009,-73.8599252234,40.8372532938,Active,Bronx
Strada,POINT (-73.8599288290913 40.83562012455807),2303010,-73.8599288291,40.8356201246,Active,Bronx
