name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed,X,Y
Marine Park Plaque,,977,Y,Queens,Marine Park,Q028,14,32,MARINE PARK,M,,,,,,bronze,,,,,approved by art comm. 5/71,,,,,,,,,,,,
Æsculapius,Aesculapius,8,N,Manhattan,,,9,7,"City College Library, Convent Avenue at 139th Street",Y,1931,ca. 1931,Bust,,,Bronze,,,,,$50; Dr. Francis Huber,,,,,,,,,,,,
Dolphins,dolphins,391,Y,Manhattan,,,0,0,,M,,,,,,,,,,,,,,,,,,,,,,,
Admiral George Dewey Memorial,"Dewey, George",1783,Y,Manhattan,Battery Park,M005,1,1,"Upper Promenade, southwest of Castle Clinton",Y,"May 3, 1973",1973,Plaque with two relief medallions on plinth,"Plaque H: 3'9"" W: 2'8"" D: 1""; Plinth H: 4' W: 3'4"" D: 2'8""",,"Bronze, Barre granite (Presbrey-Leland Company)","U.S. Bronze Sign Company, NY",,Daniel Chester French (replica medallions based on French's originals),,"Eighteen civic, veterans', and historical associations, under auspices of American Battle Monuments Commission",,,,,Y,,,"$7,000","Portrait, Sculpture, Soldier, War Memorial, Spanish-American War",,979539.7617051303,195380.20443372428
greek epic poetry,,627,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,BROOKLYN MUSEUM; eastern parkway,Y,1909,,statue,,,indiana limestone,,,daniel chester french,,purchase; $3000.,,,,,,,,,,,,
Archimedes,Archimedes,43,N,Brooklyn,,,0,0,"Brooklyn Technical High School, Flatbush Avenue and Concord Street",Y,1934,1934,relief plaque,,,,,,W. Bimel Kehm,,,,,,,,,,,Sculpture,,,
Drama,drama,402,O,Manhattan,Bryant Park,M008,5,3,New York Public Library; 42nd St. and 5th Avenue; East façade,Y,,,statue,,,,,,Paul Wayland Bartlett,,purchase,,,,,,,,,,,,
triumph of law,,1574,N,Manhattan,,,5,2,APPELLATE COURT -25TH ST. FAC; madison ave at 25th st.,Y,,,pediment group,,,,,,charles henry niehaus,,"purchase $30,000.",,,,,,,,,,,,
public school #94,,1284,N,Queens,,,0,0,LITTLE NECK; 250th st. betwn 41st and 42nd Avenue,Y,1922,,tablet,,,bronze,,,maxfield h. keck,,"gift of members of school, $480",,,,,,,,,,,,
Washington Heights Evening High School,,1653,N,Manhattan,,,9,7,P.S. 186; Amsterdam Avenue btwn 145-146th St.,Y,1922,,tablet,,,bronze,,,Maxfield Keck,,gift $760.,,,,,,,,,,,,
"poe, edgar allan",,1192,N,Manhattan,,,7,6,84TH ST. W. OF BROADWAY; nw corner of building,Y,,,tablet,,,,,,,,,,,,,,,,,,,,
public school #87,,1279,N,Queens,,,0,0,MIDDLE VILLAGE; 80th st. and 68th Avenue,Y,1921,,stele with tablet,,,,john polacheck bronze co.,,,,"gift, $1300",,,,,,,,,,,,
wisdom,,1716,N,Manhattan,,,5,2,APPELLATE COURT BLDG ENTRANCE; madison avenue at 25th st,Y,1900,,statue,,,,,,Frederick Wellington Ruckstull,,"purchase $10,000.",,,,,,,,,,,,
greek architecture,,625,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,BROOKLYN MUSEUM; eastern parkway,Y,1909,,statue on roofline,,,indiana limestone,,,Herbert Adams,,"purchase, $3000.",,,,,,,,,,,,
"washington, george bust",,1672,N,Manhattan,,,1,1,CITY HALL; governors room,Y,,,bust,,,plaster,,,,,,,,,,,,,,,,,
"Ciccarone, Pvt. V.","ciccarone, pvt. v.",247,Y,the Bronx,,,0,0,Stolen prior to 1971,M,,,,,,,,,,,,,,,,,,,,,,,
General Edward Fowler,"Fowler, Edward",547,Y,Brooklyn,,BZ032,2,35,"Fowler Square: Lafayette Avenue, Fulton Street, South Elliott Place",Y,"May 18, 1902",1902,"Standing figure (over life size) on integral plinth on pedestal  with wreath containing letters  of name, and plaque","Figure H: 7'11""; Pedestal H: 6'4"" Diameter 7'2""; Plaque H: 1'9 1/2 "" W: 2' 1/2""","$7,000.00 plus interest on bonds","Bronze, Quincy granite (polished)",Henry Bonnard Bronze Company,,Henry Baerer,,City of Brooklyn,,,,,Y,,,,"Civil War, War Memorial, Sculpture, Soldier",,991009.765667975,189552.50874006748
"zenger, john peter",,1741,N,the Bronx,P.S. 18 and Patterson Houses Playground,X155,1,17,P.S. #18; morris ave at 146th st.,Y,1951,,portrait statue,10'h,,limestone,,,joseph kislewski,,purchase,,,,,,,,,,,,
Connolly,,320,N,Brooklyn,,,4,37,P.S. 113; Evergreen Avenue and Moffat St.,Y,1931,,tablet,,,bronze,,,,superb bronze company,gift of teachers of p.s 113,,,,,,,,,,,,
"Hazen, Irving A.",,690,N,Staten Island,,,1,49,RICHMOND HILL HIGH SCHOOL  - Now South Richmond High School,Y,1930,,plaque,no size,,bronze,birmingham gild ltd,,,,"board of education, $150.",,,,,,,,,,,,
"Foster, Rebecca Salome",,541,N,Manhattan,,,1,1,CRIMINAL COURTS BUILDING; 100 Centre Street,Y,1903,,relief,,,marble in gilt frame,,,Karl Bitter,Chas. Rollinson Lamb,gift,,,,,,,,,,,,
"radgik, abraham",,1309,N,the Bronx,,,0,0,,Y,,,,,,,,,,,,,,,,,,,,,,,
Sheepshead Bay Fishing Piers Improvements,,2198,Y,Brooklyn,,B393,15,48,Emmons Ave. bet. Ocean Ave. and E. 26 St,Y,1994,1994,Ten terrazzo ottomons and flagpoles with revolving galvanized steel painted flag/pennants at the top of each pole,"Ottoman: 7'D x 3'5""H; Flagpole: 34'H",Percent for Art,"terrazzo, steel",,,Scott Burton,Michael J. Koenen,Percent for Art,,,Design Team Project,,N,,,,,,,
New York City AIDs Memorial,,2170,Y,M,,M404,2,3,12th Street and Greenwich Avenue,Y,"December 1, 2016",,Abstract canopy with engraved paving and fountain,,,"painted structural steel, granite, stainless steel",,,Jenny Holzer (insribed granite paving),"Studio ai, Mateo Paiva",NYC AIDS Memorial Organization,,,,,N,,,,"Abstract, Other",,,
Grand Army Plaza Urns,,610,Y,Brooklyn,Grand Army Plaza,B040,19,33,GRAND ARMY PLAZA - IN STORAGE,S,,c.1898-1902?,Urns,"Total Height from base to highest point of snake handle: approx. 29 1/2"" highBase: approx. 16 3/4"" wideWidth of urn from snake handles: approx. 36""",,Bronze,,,,Stanford White,,,,,,,,,,,,,
Boy and Girl,,143,N,Manhattan,,,0,0,,Y,,,,,,,,,,,,,,,,,,,,,,,
General Casimir Pulaski,,1289,Y,the Bronx,Pulaski Park,X041,1,8,"PULASKI PARK -E. END OF PARK; e. 133rd st, willis ave at willis bridge",N,1938,,"flagstaff base, tablet - stolen 1976","24""h x 35""w x 1""d",,"bronze, concrete",,,,,,,,,,,,,,"War Memorial, Revolutionary War",,,
Van Pelt Manor,,1615,Y,Brooklyn,Milestone Park,B063,11,50,HOUSE DEMOLISHED IN 1952-53; 81st st. and 18 Avenue -tablet in storage,M,1923/25,,tablet,"20""h x 30""w",,bronze,,,g.r. bibbladdo,,l.i. st. soc. dghtrs of rev. $200,,,,,,,,,,,,
peristyle,,2226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harlem Heights Middle Redoubt Marker,Harlem Heights Middle Redoubt Marker,679,N,Manhattan,,,9,7,"east section of Trinity Cemetery, Broadway and 153rd Street",Y,"May 5, 1929",ca. 1929,plaque on boulder,"h 1'10"" x w 1'5""",,plaque--bronze; boulder--granite,,,Paul Wayland Bartlett,,"Washington Heights Chapter, National Society of Daughters of the American Revolution",,,,,,,,,"War Memorial, Revolutionary War",,,
Giovanni da Verrazzano,"Verrazano, Giovanni da",1628,Y,Manhattan,Battery Park,M005,1,1,North entrance pathway,Y,"October 6, 1909",1909,Elevated male half figure and standing female figure (both heroic scale) on pedestal consisting of two perpendicular slabs,"half figure h 5' (?); standing figure h 9'; original total h 27' x w 11'6"" x d 11'6""",,"Bronze, Deer Isle granite",Roman Bronze Works,,Ettore Ximenes,,Charles Barsotti organized public subscription; work donated by artist,,,,,Y,,,"$5,000 (materials only);",Explorer,,979707.7174059749,195900.03475889564
Arthur Cunningham,"Cunningham, Arthur",354,Y,Queens,Cunningham Park,Q021,8,23,Bust inside building near tennis courts.,Y,1941,1941,Bust,"Pedestal H: 8'6"" W: 6' D: 2'",,Bronze,,,Emil Siebern,,,,,,,Y,,,,Public Servant,,1047341.8364025503,205170.7698263079
Cadwallader David Colden,"Colden, Cadwallader David",284,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, seventh from lef",Y,1905,ca. 1905,standing figure (heroic scale),,,Westerly granite,,,Philip Martiny,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,Sculpture,,,
"loyalty, valor and sacrifice",,948,N,the Bronx,,,4,17,,Y,,,,,,,,,,,,,,,,,,,,,,,
